"Training Session","Í×áæÇÕàæÉÚæÏãç"
"Power","ÇÕæÇÕâç"
"Friendship","ÕßåÕæ"
"Cunning","ËÕŞåÊÖØç"
"Truth","ÎáÇÕå"
"Fairness","ÈÖãÁÕãç"
"Eloquence","ÉßåÓÜç"
"Tradition","ÏÖàçÅÖãå"
"Decorum","ÇÕåÕç"
"Cooperation","ÊÚçÒÖÙæ"
"Artwork","ÕæĞÖæÁÕáå"
"Stoicism","ÅÕàçÄàæÈÖØå×æ"
"Independence","ÄÖçÇÕæ"
"Self-Control","ÒæÉÖãæ"
"Introspection","ÆİæĞãå"
"Harmony","ÊÚçÍÕÛç"
"Tranquility","ÆÕãçËÕãæ"
"Craftsmanship","ĞßåÕæ"
"Merriment","ÊÖàÇÚæ"
"Skill","ËÕæÆãç"
"Martial Prowess","ÖåÈÖã"
"Sacrifice","ÍÕĞã"
"Hard Work","ÆÖåÇÕæÈÖãÒÖÙæ"
"Perseverance","ÕæÇÕæ"
"Competition","ËÕãæÎã"
"Commerce","ĞâÕÛæ"
"Leisure Time","ÍÕàçÍÕØçĞçËÕà"
"Nature","ÒæÑàç"
"Romance","ÇâæÂàæ"
"Knowledge","ÎĞç"
"Peace","ÊÚçÁÕãç"
"Tell Story","ËÕâåÈÖæĞæ"
"Listen to Sermon","ÇÕãçÅÕãÀÖæÄŞæ"
"Recite Poetry","ÆÕàæĞ"
"Listen to Story","ÇÕãçÅÕãÈÖæĞæ"
"Simulate ","ÂÙçÆÕå "
"Listen to Poetry","ÇÕãçÅÕãĞÈÚ"
"Sing","Ïâæ"
"Play ","ÄàæÒßæ "
"Perform Music","ÕàåÒßæÕáÇÚæ"
"Chant","ÊÖÊŞæ"
"Perform Dance","ÀÕŞåÕàåÖåÄŞå"
"Listen to Music","ÅÕãÕáÇÚæ"
"Go to ","Ì×æ "
"Watch Dance","ÈÖàĞâåÖåÄŞå"
"Organize ","ÒÖåÎ "
" Demonstration"," ĞæÃàæ"
"Wait for ","ÄãåÄÜæ "
"Lead ","ÇÕãåÄŞå "
"Serve ","ÃÖçÖæ "
"Watch ","Éàæ "
"Go to Individual Combat Drill","Ì×æËÕáæÍÕãçÈÚæÑáçÎàæÄßåÍ×áæÇÕàæ"
"Serve Customer","ÖİçÉÚæÊÖæÃÖçÖæ"
"/Resting","/ÍÕßÍÕ"
"Individual Combat Drill","ÈÚæÑáçÎàæÄßåÍ×áæÇÕàæ"
"Spar","ÄÖİæÇÕàæ"
"Go to Sparring Match","ÓàËÕØÀÙçËÕÀÕåÔÜæ"
"Watch Sparring Practice","ÈÖàÉàæÀÙçËÕÍ×áæÇÕàæ"
"Go to Sparring Practice","ÓàËÕØÀÙçËÕÍ×áæÇÕàæ"
"Archery Practice","ĞÚæËÕàæÇÕàæÍÕç"
"There are not enough dancers.","ÎÚæÇÕåÂİçÕßåÒÖçÈßæÄÚèÖåÎÚå."
"There is not enough room to perform here.","ÎÚæÇÕåÂİçÕßåÒÖçÈßæÄÚèÉÖãËÕàÇÜçÀÕŞåÕàå."
"You cannot perform here.","ÆÕåÀÖæÆãçÒÜæÎÚæÇÕåÀÕŞåÕàå."
"You could not find a partner.","ÆÕåÎŞåÀÖæÄŞæÊÚçÒÖÙæÊÖÙåÀàæ."
"Some children","ÕÍÕÛÊÜçÒå"
"You","ÆÕå"
"is","Ğæ"
"are","Ğæ"
"begins","ÉÜĞå"
"begin","ÉÜĞå"
" playing with "," ÊÚçĞÖİçÖàç "
" playing make believe."," ÎãæÒÜæÖàçËÕØåÀàæÕßçÍÕæ."
"The performers","ÀÕŞåÕàåÎÚå"
"a toy","ÕÈÚæÖàçË×æ"
"the story of ","ÎÚæÈÚæÈÖæĞæĞæÈÖà×ç "
"a sermon on ","ÈÖà×ç "
"an improvised recital of ","ËÕçÍÕãÕàåÒßæ "
"reciting the poem ","ÀİæÔÖãæÎÚæĞßåĞ "
"improvised music, ","ËÕçÍÕãÕáÇÚæ,"
"the musical composition ","ÕáÇÚæÒÖÙæÁÕáå "
"an improvised dance, ","ËÕçÍÕãÖåÄŞå,"
"dancing ","ÅÕŞæÖå "
"You continue the sermon.","ÆÕåËÕæÍ×æÎÖÙçÀÖæÄŞæ"
" in the middle of "," ÒÜæÎÖãËÕà "
"You continue the story.","ÆÕåËÕæÍ×æÎÚæÈÚæÈÖæĞæ."
"The sermon continues.","ÀÖæÄŞæÑãçÒÜæËÕæÍ×æ"
"You begin","ÆÕåÉÜĞå"
"The story continues.","ÈÖæĞæÊÖàçÒÜæËÕæÍ×æ."
"the ","ÎÚæ "
"The poetry enters","ĞÈÚËÕáæÑÖæÇÕŞå"
"the verse paragraph","ÎÚæÄÖàæËÕãÖáç"
" line."," ÍÕàæ."
"the stanza","ËÕÛç"
" verse paragraph"," ËÕãÖáçÄÖàæÇÖÙæ"
"You continue the poem.","ÆÕåËÕæÍ×æÄÖçĞ."
" stanza"," ĞËÕÛç"
"You enter ","ÆÕåËÕáæÑÖæÇÕŞå "
"The poem continues.","ĞÈÚËÕæÍ×æÎÖÙç."
"The music enters ","ÕáÇÚæËÕáæÑÖæ "
"The dance enters a new section with ","ÖåÄŞåËÕáæÑÖæÕÈÚæÍÕáÄÚèÀÖæÃá "
"the introduction","ËÕÛæĞŞæ"
"a simple passage","ÕÈÚæËÕàåÄàÄÚèÄÖàæÇÖÙæ"
" of the theme"," ÎÖåÅÕç"
"the exposition","ÀÙçÇàåÊÖİæ"
" of the second theme"," ÄÕæäæÈÚæÎÖåÅÕç"
" of the first theme"," ÄÕæÕÈÚæÎÖåÅÕç"
"a recapitulation","ÕÄÖàæÎÜÕŞæ"
" of the previous passage"," ĞâæÕÄÖàæ"
" of the two themes"," ÎÚæÇÕâåÈÚæÎÖåÅÕç"
"the synthesis","ÊÚçÏãç"
"a verse","ÕË×æĞÓç"
" of previous passages"," ÎÌÕàçÄÚèÄÖàæÇÖÙæ"
"the finale","ÖİåĞã"
"a chorus","ÊÚçÏâæ"
"a bridge-passage","ÌÕŞçÇÕâçÅÖãÄŞæ"
"the coda","ËÕÛçÖİå"
"second ","ÄÕæäæ "
"first ","ĞßåÍÕà "
"a series of variations","ÕÍÕæÇÕÛæÄÚèÀÕàæÊÖØæ"
"theme","ÎÖåÅÕç"
" on the first theme"," ÈÖà×çÄÕæÕÈÚæÎÖåÅÕç"
" on the theme"," ÇÖáæÎÖåÅÕç"
" on the second theme"," ÈÖà×çÄÕæäæÈÚæÎÖåÅÕç"
"You continue the dance.","ÆÕåËÕæÍ×æÅÕŞæÖå."
" and "," ×å "
"You continue the music.","ÆÕåËÕæÍ×æÕáÇÚæ."
"The dance continues.","ÖåÄŞåËÕæÍ×æÎÖÙç."
"You conclude your performance.","ÆÕåÄÚèÀÕŞåÕàåËÕÛçĞÖæÇÕŞå."
"The music continues.","ÕáÇÚæÊÖàçÒÜæËÕæÍ×æ."
"Some performers finish their act.","ÕÍÕÛÀÕŞåÕàåÎÚåÖàçÏãçÇÕŞåÅØÂáçÄÚèÀÕŞåÕàå."
"The performers are finished.","ÀÕŞåÕàåËÕÛçĞÖæÇÕŞå."
" concludes a performance."," ËÕÛçĞÖæÀÕŞåÕàå."
" has finished performing."," ÕåÖàçÏãçÀÕŞåÕàå."
"You feel like you know the basic rules of ","ÆÕåË×ÛçÄÚçÆÕåÎÄŞæÄÚèËÕÀáåÈÖİÒÚç "
"You've learned ","ÆÕåÕåËÕãÍ×ÛçÊÖİæÇÕŞå "
"Your","ÆÕåÄÚè"
" now."," ÍÕàæÒÜæ."
" lay"," ÃâæÎæ"
"'s","ÄÚè"
" forth an awe-inspiring sermon for the ages!"," ËÕáæÍÕãçÇÕŞåÕÓæÉÚåÏÖàçÔÖãæÌÕàÈÖåÇÕãçÑáçËÕãæÖİæÄÚèÀÖæÄŞæ!"
"s","Âáç"
" a lucid and powerful sermon."," ÕÁÕàÌÕãÍÕÕßåÇÕæÄÚèÀÖæÄŞæ."
" artfully deliver"," ÌÕŞåÂÕŞæÄÚçÅÕåÄÕæËÕâåÕàåÇÕŞå"
" just can't give a sermon very well."," ÀÖæÄŞæÒÖÙæÄÚèÏØæÌÕâçÑáçÕæ."
" giving a creditable sermon."," ËÕáæÍÕãçÇÕŞåÕÓæÇÕãçÑáçÍÕáæÃÖçÄÚèÀÖæÄŞæ."
" a mesmerizing tale!"," ÕÈÚæÇÕãçÑáçÎÖÙçÂÕçÄÚèÈÖæĞæ!"
" weave"," ÀÕàÎ"
" the story in vivid detail."," ÎÚæÈÚæÈÖæĞæĞãÄÖãæÂÕãçÇÕŞå."
" tell"," ÈŞæÔÖæ"
" stumble"," ÀàæÄŞå"
" telling the tale quite well."," ÊáåÊŞåÄÕæËÕâåĞÖæÇÕŞåÎÚæÈÚæÈÖæĞæ."
" bring"," ÄÜæÇÜç"
" over the details."," ÒÜæÍÕæËÕÛçĞâæ."
" choose"," Í×àåÒÚç"
" the poem to life with this flawless recitation."," ÖàçÂİåÖçÌ×ÛÄÚèÇâåÔÖãæĞåÎÚæĞßåĞÍ×åÍ×åÑÖçĞã."
" recite"," ÀİæÔÖãæ"
" the perfect phrasing."," ÖàçÂİåÄÚèÓÖÙæÓç."
" enunciate"," ÃØÕá"
" the words evocatively."," ÎÚæÍÕÛÓçË×æÇÕãçÑáçÊÖİçÖİæ."
" speak"," ĞÖÙÊÖØæ"
" crisply."," ÈàÓÖİæ."
" mumble"," ÈÖÆÖãç"
" well."," ÊŞå."
" poorly."," ÒŞÈŞ."
", having completely forgotten the words.",",ÖàçÌ×àçÖâæËÕæÇÕŞåÎÚæÍÕÛÊÖØæ."
"instrument","ÕçÌÕæ"
" and the "," ÊÚç "
" delivering a virtuoso performance on the "," ÀÕŞåÍÕàæÏÖÎÖãæÒÜæ "
" are indistinguishable!"," ÆàçÕåÌ×Ãá!"
"song","ÈÚ"
"chant","ÊŞæÒå"
" could nearly pass for the voice of the "," ËÕÊÖ×åÌÕçĞãÕáÕÎæ "
" is absolutely flawless."," Ë×ÛçÄÖİæÖàçÂİåÖçÌ×Û."
" the "," ÎÚæ "
" play"," Öàç"
"sing","Ïâæ"
" with skill."," ÕßåËÕæÌÕŞå."
" sound"," ĞãÕá"
" beautifully."," ÂİåÇÕæÄÚè."
" playing the "," Öàç "
" vaguely like the intended "," ÄØæÎæĞâæÑÖç×æÌÕÄÚèÆØæÕâæ "
"singing","ÏâæÈÚ"
"chanting","ÔÖãæËÕã"
" a mockery of the "," ÏŞçÆÖãæ "
" make"," Ğå"
"doesn't","ÀÖæ"
" with a shameworthy performance."," Ë×æÕßåÉÚåÏåÄÚèÀÕŞåÍÕàæ."
" seem to know how to play the "," ÔæÊÖÎÄŞæÒáåÂÚèÖàç "
"don't","ÀÕÛç"
" and even forget"," ĞáæÎæÖâæÇÕŞå"
" sloppily"," ÅÖÙÆÕçÄÜæĞÖİå"
" dance"," ÖåÄŞå"
" some of the words."," ÕÍÕÛÊÖØæ."
" dancing exceptionally."," ÅÕŞæÊáåÀÕÛçÎæÄÚèÖå."
" flawlessly, like someone out of a legend!"," ÖàçÂİåÖçÌ×Û,ËÕßæÍÕâæÏÖàçĞÖÙÎÖãÄÚèÂßåÈÚæÑáçÕÕâæ!"
" get"," ÄÚçÄŞæ"
" dancing well."," ÅÕŞæÄÚçÊŞå."
" tangled up."," ËÕßËÕÛçÇÕŞå."
"The pages are blank.","ÕÛæÂÕàæĞæÉÖãÀÜçÄÚè."
"It has no writing.","ĞâæÂÕàæÂİçÕßåÒæ."
"It has no pages.","ÅØÂİçÕßåÕÛæÂÕàæ."
"Alias: ","ÕæÒÖÙæ:"
"Associated Plot: ","ÈÖàÇÕàçÄÕæÉÖÜæ:"
"Highest known in organization","ÒÖåÎÎÖãÕßåÒÖİæÈŞÄÚèÎÂÕãçÄÖæ"
"Associated Organization: ","ÍÕâÈÖàÒÖåÎ:"
" of "," ÄÚè "
"Force","ÇÕæÇÕâç"
"We should be making better progress.","ÖÙåÂáçÕãÈÜÌ×åÄÚçÈãÊŞåÄÚèËÕáæÎàå."
"We should have made it there by now.","ÖÙåÂáçÀáåÕãÍÕàæÒÜæËÕßæÖàçÈÖã."
"The oppressor has been overthrown!","ÕØÁÙæÎÚåÕåËÕãÀİæÅÖİÃàÇÕŞå!"
"We have arrived at our destination.","ÖÙåÂáçÄŞæÄØçÇÕŞåÂÖæÄÚèÄÕæ."
"We haven't performed for some time.","ÖÙåÂáçÊÖàçÂİçÕßåÀÕŞåÕàåÄÖÙÏâçĞçËÕà."
"We are going the wrong way.","ÖÙåÂáçÒßåÓÖÙæÇÕŞåÇÖæ."
"We must go back.","ÖÙåÂáçÀÕæÍ×ÊÖİçÌ×æ."
"We must not abandon ","ÖÙåÂáçË×ÛçÀÖæÆãçÃâæÌÕæ "
"Empty announcement ","ÉÖãÀÜçÈÖãÈŞæ "
"spinning ","ÃâåÎ "
"The ","ÎÚæ "
"its","ÅØÄÚè"
"it","ÅØ"
" by the "," ÅÖãÈÖÙæ "
", but it is deflected by ",",ÄàæÅØÀİæÁÕàÎÖàåÇÕŞå "
"It","ÅØ"
"flying ","ÃİÍÕãç "
" with "," ÅÖãç "
" from the side"," ÓÖãçÓÚæÂÕàæ"
" from behind"," ÓÖãçÊßæÂÕàæ"
" in the "," ÒÜæÇÕåÂÕàæ "
", but it passes right through!",",ÄàæÅØÎãæÊŞåÏÖàÈÖÙæ!"
", but there is no force!",",ÄàæÂİçÕßåÇÕæÇÕâç!"
", lightly tapping the target!",",ÌÕãÌÕãÁÜÄØåÂÖæÀÕŞ!"
", but the attack is deflected by ",",ÄàæÈÖãËÕÀİæÁÕàÎÖàåÇÕŞå "
" and the severed part sails off in an arc!"," ÀİæÌÕÛÄÖàæÄÚèÀÖæÃáÕåÊÖçÍÕãçÌÕàçËÕáæ!"
", but the attack glances away!",",ÄàæÈÖãËÕÕÂÖæÇÕŞåÑàç!"
", but it glances away!",",ÄàæÅØÕÂÖæÇÕŞåÑàç!"
", but the attack passes right through!",",ÄàæÈÖãËÕÎãæÊŞåÏÖàÈÖÙæ!"
" collapses!"," ÀãÉÖİæ!"
" splits in gore!"," ÔÖİæÏãçÍÕŞåÉÖÜæ!"
" is smashed into the body, an unrecognizable mass!"," ÀİæÒØçÄŞæĞáÅÕåÇÕå,ÕÅÖàçÖçÃØåÀÕàæÑáæÄÚèÓàçÊÜç!"
"the part","ÆØæÈÚæÀÖæÃá"
" and it is mostly cut away from the rest of the torso!"," ÅØÌ×ÈàÄÚèÌÕçÅØÀÖæÃáËÕÊÖÄÖÀİæÌÕÛÄÕŞæ!"
" is torn apart!"," ÀİæÔÇÕÛæÇÕŞå!"
" is ripped into loose shreds!"," ÀİæÔÏãçÔÖİæÁÕàæ!"
"the injured part","ĞßæĞâÄÚèÀÖæÖİæ"
" is crushed!"," ÃáåÔÖİæÇÕŞå!"
" collapses into a lump of gore!"," ÖØåËÕÛåÏãçÕÅàÍ×ÛæÉÖÜæ!"
" explodes into gore!"," ÎØæÏãçÕÅÖàçÍ×ÛæÖæ!"
" is cloven asunder!"," ĞæßåÑàçÄÚè!"
"jamming the","ÈàÑŞåÇÕŞå"
"main part","ÎÖåÕŞæÀÖæÃá"
"'s ","ÄÚè "
"passing through a hole in the ","ÏÖàÈÖÙæÕÈÚæÄÖãæ "
"tearing","ÔÇÕÛæ"
"through the ","ÅÖãÈÖÙæ "
"out of the wound","ÒßåÏÖĞâÅÖãæ"
" part"," ÀÖæÃá"
"fracturing","ÄÖàæÇÕÛæ"
"chipping","ÔÖİæÇÕÛæ"
"shattering","ÄØåÔÖİæ"
"tearing apart","ÔÇÕÛæ"
" apart"," ÈÚçÉÜ"
" it"," ÅØ"
"bruising","×Ğâ"
"denting","ÍÕØæÍÕàæ"
" tearing"," ÔÇÕÛæ"
" shattering"," ÄØåÔÖİæ"
" tearing apart"," ÔÇÕÛæ"
" and"," ×å"
" bruising"," ×Ğâ"
" denting"," ÍÕØæÍÕàæ"
" fracturing"," ÄÖàæÇÕÛæ"
" chipping"," ÔÖİæÇÕÛæ"
" a piece of"," ÕÉÖÜæ"
" half of"," ÕÀàæ"
" most of"," ÄØæÄÖÙĞÖæ"
"breaking away","ÇÕçÉÜÇÕŞå"
" and spilling "," ÊÚçÕæÏÖ "
" through the "," ÅÖãÈÖÙæ "
" through a hole in the "," ÅÖãÈÖÙæÕÈÚæÄÖãæ "
" the rest of"," ÌÕç×çÄÚè"
"decomposing","ÃáËÕÛå"
"rotten","ÃÖåÇàæ"
"fetid","ÚæÏßæÄÚè"
"your","ÆÕåÄÚè"
"reeking","ÃØÏßæÌÕæÄÚè"
"filthy","âÒâæ"
"stinking","Ïßæ"
"rancid","ÔßÄÚè"
"It is a gelding blow!","ËÕÎÖãÇÕŞåÍÕØæÅÕåÕŞæÊÜæÀÖæÖİæ,ÎÚæĞæÕÓæÕàÈÚÄØåËÕ!"
"It is a gelding strike!","ËÕÎÖãÇÕŞåÍÕØæÅÕåÕŞæÊÜæÀÖæÖİæ,ÎÚæĞæÕÓæÕàÈÚÄØåËÕ!"
"The geldables have been torn away!","ÂÖæÀÕŞÕåÀİæÄÖàæÒåË×ÛçÔÖá!"
"foul","ÃàæÈÖİ"
"many nerves","ÊáåÄÖÙĞáçËÕã"
" has been opened by the attack"," ÕåÀİæÈÖãËÕÈÚÉÜ"
"an artery","ÕÅÕŞçÄÖãæÂÜæ"
"a major artery","ÕÅÕŞçÎÖåÄÖãæÂÜæ"
"has","Ë×æÕßå"
"have","Õßå"
"a sensory nerve","ÕÅÕŞçÈàåË×ÛçĞáçËÕã"
"a motor nerve","ÕÅÕŞç×áæÄÖãæĞáçËÕã"
"torn","ÔÇÕÛæ"
" has been "," ÕåËÕã "
"a ligament","ÕÅÕŞçÑáæÄÜæ"
" been severed"," ÀİæÌÕÛÄÖàæÇÕŞå"
"strained","ËÕáåÎâ"
"a tendon","ÕÅÕŞçËÕËÕàæ"
"bruised","ĞâÊáçÇİçÇİç"
"sprained","ÆÕßåĞâ"
" have"," Õßå"
" attack is interrupted!"," ÈÖãËÕÀİæÄØåÄÖàæ!"
" breaks!"," ÍÕßÍÕ!"
" is ripped to shreds!"," ÀİæÔÏãçÔÖİæÁÕàæ!"
" latch on firmly"," ÇŞçÇŞçÔÖÙåÎÖæ"
" has lodged firmly in the wound!"," ÕåËÕãÇŞçÇŞçÄÕæÌÕØåÒÜæÇÕŞåĞâÉßåÇÕå!"
" become enraged!"," ÀÕàæÄÚçÃáæÆÖæ!"
" has"," Ë×æÕßå"
" latches on firmly!"," ÇŞçÇŞçÎÖØÎÖæ!"
" latch on firmly!"," ÇŞçÇŞçÎÖØÎÖæ!"
" to "," Îæ "
" latches on firmly"," ÇŞçÇŞçÎÖØÎÖæ"
" been knocked unconscious!"," ÀİæÄØåÊÖáÇÕŞå!"
" propelled away by the force of the blow!"," ÀİæÎÚæÕËÕÄÚèÇÕæÇÕâçÅÖİÉÜÇÕŞå!"
" is"," Ğæ"
" are"," Ğæ"
" having trouble breathing!"," ÊÖÍÕÉÖáæÆàç!"
" having more trouble breathing!"," ÊÖÍÕĞçÃáÉÖáæÆàç!"
" been stunned!"," ËÕãÄÜÇÕŞå!"
" been stunned again!"," ÒÜæÓæËÕãÄÜÇÕŞå!"
" sick!"," ÚæÍÕá!"
" even more sick!"," ĞçÃáÚæÍÕá!"
" looks"," ÑÖãçÂŞæ"
" feel"," ÈàåË×Ûç"
" flows over the "," ÇÕßçÈÖÙæ "
" splatters over the "," ËÕàæÒÜæĞâæÂÕàæ "
" crumbles over the "," ÃáåÔÖİæÇÕŞå "
" is injected into the "," ÎÖæÑÖæÇÕŞå "
"Okay","ÊŞåÄÚè"
" is sucked out of the wound!"," ÓÖãçĞâÉßåÀİæÍÕÏÖÇÜç!"
" pours over the "," ÌÕãÎÖæÇÕŞå "
"item","ÖæÁÕáå"
" and others have returned."," ÕåËÕãÊÚçÌÕçÅØÑáçÕÌÕåÊÖİçÇÜçÇÕŞå."
" have returned."," ÕåËÕãÊÖİçÇÜçÇÕŞå."
" has arrived."," ÕåËÕãÄŞæÄØç."
" is visiting."," ÎãæÒÜæÓàÈÖà."
", the performance troupe, has arrived.",",ÀÕŞåÕàåÄÖİæÕåËÕãÄŞæÇÕŞå."
", a performance troupe, is visiting.",",ÕÈÚæÀÕŞåÕàåÅÖàçÌÕàçÇÜçÀÜæÃâå."
" has returned."," ÕåËÕãÊÖİçÇÜçÇÕŞå."
" has brought back many tales from beyond "," ÓÖãçÖÜæÂÕàæÄÜæÊÖİçÇÕŞåÍ×åÄÖÙÈÖæĞæ "
" has brought back a few rumors."," ÄÜæÊÖİçÇÕŞåÕÍÕÛÏÖàçÖáç."
" has brought back a rumor from abroad."," ÄÜæÊÖİçÇÕŞåÕÍÕÛÈÖÙçÖÜæÄÚèÏÖàçÖáç."
"Autumn","ÌÕßËÕæ"
"Winter","ÄÖãËÕæ"
"The dead walk.  Hide while you still can!","ÖâçÇÕãçÌÕáÍÕç.ÆãçÄÖÙåÌÕåÇÜçÄÚèÄÖÍÕàÓâçÊŞå!"
"Forms twisted from their nature, legion of the night.  What hope remains?","ÀáåÍÕãæÆÕßåÌ×,ÎßæÃÖçÕÛæÄÖãæ,ÍÕÖâæÊÚçÓÖáç?"
"Spoils Report: ","ÁÙæÊÖÜæÀŞæÈŞæ:"
" and others"," ÊÚçÀÕÛçÄÚè"
"Spring","ÏÖáËÕæ"
"Summer","ÍÕØæËÕæ"
"The enemy have come and are laying siege to the fortress.","ÄÕçÑáçÇÜçÓåÖİçÈÖãÕŞæÔÜ."
"An army is invading!","ÕÎË×áÄÖİæÎãæÒÜæÑÖæÌÕá!"
"army is located out of bounds: teleporting","Ë×áÄÖİæÖİæ×çËÕÛæÖÜæ:ÏÖàçÔÖãæ"
"A vile force of darkness has arrived, seeking a parley!","ÕÈÖåÀİÀÕåÄÚèÊİàæĞæÇÕæÕåËÕãÄŞæÇÜç,ÌÕãåÌÕßçÅàçÁàæ!"
"The enemy have come and are preparing to lay siege.  They seek a parley!","ÄÕçÑáçÇÜçÇÕŞå,ÎãæÎÖáåÀİæÖİçÈÖã.?ÅØÂáçÍ×áçÌÕßçÕÈÚæÊÖÙåÀàæ!"
"An army has come to your lands seeking a parley.","ÕÎË×áÄÖİæÇÜçÄŞæÆÕåÄÚèÅÖåÄÕæÀÕãæÍ×áçÌÕßçÅàçÁàæ."
"A vile force of darkness has arrived!","ÕÈÖåÉÚåÊáæÄÚèÊİàæÄØæË×áÄŞæÇÜçÇÕŞå!"
", has been",",ÕÎç"
" incorporated into your holdings."," ÀÕãæÑÖæÆÕåÄÚèÈÖàåÓâç."
" has been conquered and now"," ÕåÀİæÎãÃÖç,ÍÕàæÒÜæ"
"overlord","ÀØæÖâç"
"overlords","ÀØæÎÖå"
" has been founded "," ÕåÏãçÇÕæ "
", has been conquered and",",ÕåÀİæÎãÃÖçÊÚç"
" looks to your thriving economy for its future prosperity."," ÌÕÄÜæÆÕåÁãçÀÙçÃØÎàåÄÚèËÕãËÕæÊÚçÖİæÇÜçÄÚèÃàçÑÖãç."
"save","ÎãåËÕßæ"
"themselves","ÅØÂáçÒæËÕå"
"prostrating ","ÈÖİæÀÜæ "
" are "," Ğæ "
" is "," Ğæ "
"surrounded by ","Àİæ...ÖİçÑŞæ "
"shooting ","ĞÚæËÕ "
"burning ","ÑàçĞŞ "
"admiring ","ÇÕãçÑáçÒàæĞâåÄÚè "
"devouring ","ÅÖáĞæ "
"committing a depraved act upon ","ÃàæÍÕØæÄÖÙæÇÖÙæÄÚèÒÖİæÍÕãç "
"torturing ","ÎÚÂÙç "
" before "," ÎÌÕàç "
"raising ","ÅÕçÈŞ "
"striking down ","ÄØåÄŞåÇÕŞå "
"embracing ","×ãÀŞæ "
"speaking with ","ĞÖÙÊÖØæ "
"refusing ","Ë×æÀÖæ "
"greeting ","ÊÖàÕãç "
"fighting with ","×å...ÎàæÄßå "
"massacring ","ÅÖçĞØ "
"hanging from ","Í×àçÈÖØæÎÖÙç "
"being flayed by ","ÀİæÀŞÁÕçÇÕŞå "
"impaled on ","ÓæÏÖàÇÕŞå "
"engraving ","ÄÕŞÉÚæ "
"cooking ","ÁãÑáæ "
"contemplating ","ĞáÔ "
"praying to ","ÌÕçÄŞå "
"hiding ","Óâç "
"committing a depraved act","ÒÖÙæÏÖÄÖÙæÇÖÙæÄÚèÍÕãçÖİç"
"being tortured","ÀİæÎÚÂÙç"
"screaming","ËÕàËÕŞæ"
"cringing","ÖİæÔÖÙ"
"weeping","ÌÕæ"
"praying","ÌÕçÄŞå"
"being mutilated by ","ÀİæÎËÕÛå "
"making a plaintive gesture","ÒÖÙæÏÖÕÈÚæÀİÓàåÄÚèĞßåĞæ"
"being shot","ÀİæÌÕâĞØ"
"laughing","ÍÕŞæ"
"dead","Ôå"
"falling","ÇÖÙæÍÕØæ"
"smeared out into a spiral","ÅÖçÏãçÇÖÙçÍ×àçÎÖâæ"
"in a fetal position","ÏÖå×çÅÜÀÖæÄÚèÖİæÎæ"
"making a submissive gesture","ÒÖÙæÏÖĞÖáæÓÖãçÄÚèĞßåĞæ"
" confused"," ÉÖáæÊÖÙæ"
" offended"," ĞãÌÕæ"
" terrified"," ËÕçÄÖæÉÖãåÊÖâÄÚè"
" dejected"," ÏÖİçÅßçÔâÌÕæÄÚè"
"look","Éàæ"
"looks","ÑÖãçÂŞæ"
"burning","ÑàçĞŞ"
"melting","ÑÖãçÊÖØæ"
"cooking","ÁãÑáæ"
"contemplating","ĞáÔ"
"traveling","Ç×åÍÕãç"
"laboring","ÇŞçÄÖãæ"
"striking a triumphant pose","ÀÜåÏÖÕÈÚæĞãæÇÕæÄÚèĞßåĞæ"
